SEXE;NAFG038UN;CSER_OCC;POURCENT;POPOCC
3;GI;2;11.9;695.1
2;GI;2;3.5;205.7
1;GI;2;8.4;489.4
3;GI;1;0.1;6.2
2;GI;1;0.0;1.4
1;GI;1;0.1;4.9
3;EV;z;100.0;20627.8
2;EV;z;56.1;11566.3
1;EV;z;43.9;9061.4
3;EV;6;12.3;2540.8
2;EV;6;2.9;596.8
1;EV;6;9.4;1944.0
3;EV;5;33.3;6866.4
2;EV;5;25.0;5148.9
1;EV;5;8.3;1717.6
3;EV;4;26.8;5532.4
2;EV;4;16.3;3372.6
1;EV;4;10.5;2159.8
3;EV;3;21.5;4429.9
2;EV;3;9.7;1993.8
1;EV;3;11.8;2436.1
3;EV;2;6.0;1233.8
2;EV;2;2.2;444.4
1;EV;2;3.8;789.5
3;EV;1;0.1;11.3
2;EV;1;0.0;2.9
1;EV;1;0.0;8.5
3;ET;z;100.0;3645.6
2;ET;z;29.0;1057.9
1;ET;z;71.0;2587.7
3;ET;6;44.2;1610.5
2;ET;6;10.7;389.5
1;ET;6;33.5;1221.0
3;ET;5;6.5;236.6
2;ET;5;5.2;190.9
1;ET;5;1.3;45.8
3;ET;4;28.0;1021.2
2;ET;4;7.2;262.2
1;ET;4;20.8;759.0
3;ET;3;16.6;603.4
2;ET;3;4.6;167.3
1;ET;3;12.0;436.1
3;ET;2;4.6;168.0
2;ET;2;1.3;46.9
1;ET;2;3.3;121.1
3;ET;1;0.1;3.6
